Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,week_count
,2/11/2020,,India,,,0,0,3,0
,2/12/2020,,India,,,0,0,3,0
,2/13/2020,,India,,,0,0,3,0
,2/14/2020,,India,,,0,0,3,0
,2/15/2020,,India,,,0,0,3,0
,2/16/2020,,India,,,0,0,3,0
,2/17/2020,,India,,,0,0,3,0
,2/18/2020,,India,,,0,0,3,0
,2/19/2020,,India,,,0,0,3,0
,2/20/2020,,India,,,0,0,3,0
,2/21/2020,,India,,,0,0,3,0
,2/22/2020,,India,,,0,0,3,0
,2/23/2020,,India,,,0,0,3,0
,2/24/2020,,India,,,0,0,3,0
,2/25/2020,,India,,,0,0,3,0
,2/26/2020,,India,,,0,0,3,0
,2/27/2020,,India,,,0,0,3,0
,2/28/2020,,India,,,0,0,3,0
,2/29/2020,,India,,,0,0,3,0
,3/1/2020,,India,,,0,0,3,0
,3/2/2020,,India,,,0,0,3,0
,3/3/2020,,India,,,3,0,5,0
,3/4/2020,,India,,,3,0,6,1
,3/5/2020,,India,,,3,0,28,2
,3/6/2020,,India,,,3,0,29,2
,3/7/2020,,India,,,3,0,31,2
,3/8/2020,,India,,,3,0,34,3
,3/10/2020,,India,,,3,0,44,3
,3/11/2020,,India,,,3,0,50,3
,3/12/2020,,India,,,3,1,73,4
,3/13/2020,,India,,,3,2,75,4
,3/14/2020,,India,,,3,2,83,4
,3/15/2020,,India,,,10,2,90,7
,3/16/2020,,India,,,13,3,93,9
,3/17/2020,,India,,,13,3,125,9
,3/18/2020,,India,,,14,3,137,13
,3/19/2020,,India,,,14,4,165,17
,3/20/2020,,India,,,20,4,191,19
,3/21/2020,,India,,,23,4,231,25
,3/22/2020,,India,,,23,7,320,29
,3/23/2020,,India,,,24,9,439,32
,3/24/2020,,India,,,24,9,492,35
,3/25/2020,,India,,,40,13,562,50
,3/26/2020,,India,,,43,17,649,56
,3/27/2020,,India,,,45,19,724,68
,3/28/2020,,India,,,67,25,873,77
,3/29/2020,,India,,,80,29,979,109
,3/30/2020,,India,,,96,32,1071,114
,3/31/2020,,India,,,102,35,1251,149
,4/1/2020,,India,,,124,50,1397,166
,4/2/2020,,India,,,144,56,1965,199
,4/3/2020,,India,,,156,68,2301,239
,4/4/2020,,India,,,163,77,2902,273
,4/5/2020,,India,,,213,109,3374,308
,4/6/2020,,India,,,275,114,4067,339
,4/7/2020,,India,,,319,149,4421,377
,4/8/2020,,India,,,353,166,5194,414
,4/9/2020,,India,,,411,199,5734,437
,4/10/2020,,India,,,478,239,6412,480
,4/11/2020,,India,,,516,273,7447,507
,4/12/2020,,India,,,653,308,8356,543
,4/13/2020,,India,,,765,339,9152,590
,4/14/2020,,India,,,980,377,10363,640
,4/15/2020,,India,,,1190,414,11438,681
,4/16/2020,,India,,,1344,437,12380,718
,4/17/2020,,India,,,2015,480,13387,775
,4/18/2020,,India,,,2015,507,14378,824
,4/19/2020,,India,,,2302,543,15712,872
,4/20/2020,,India,,,2842,590,17265,934
,4/21/2020,,India,,,3260,640,18600,1007
,4/22/2020,,India,,,3960,681,19984,1074
,4/23/2020,,India,,,4325,718,21393,1147
,4/24/2020,,India,,,4814,775,23077,1218
,4/25/2020,,India,,,5210,824,24506,1301
,4/26/2020,,India,,,5914,872,26496,1373
,4/27/2020,,India,,,6362,934,27892,1568
,4/28/2020,,India,,,7027,1007,29435,1694
,4/29/2020,,India,,,7797,1074,31332,1783
,4/30/2020,,India,,,8373,1147,33050,1886
,5/1/2020,,India,,,9065,1218,35043,1981
,5/2/2020,,India,,,10018,1301,37336,2109
,5/3/2020,,India,,,10887,1373,39980,2206
,5/4/2020,,India,,,11762,1568,42533,2293
,5/5/2020,,India,,,13161,1694,46433,2415
,5/6/2020,,India,,,14183,1783,49391,2549
,5/7/2020,,India,,,15267,1886,52952,2649
,5/8/2020,,India,,,16540,1981,56342,2752
,5/9/2020,,India,,,17847,2109,59662,2872
,5/10/2020,,India,,,19358,2206,62939,3029
,5/11/2020,,India,,,20917,2293,67152,3163
,5/12/2020,,India,,,22455,2415,70756,3303
,5/13/2020,,India,,,24386,2549,74281,3435
,5/14/2020,,India,,,26235,2649,78003,3583
,5/15/2020,,India,,,2792,2752,81970,3720
,5/16/2020,,India,,,30153,2872,85940,3867
,5/17/2020,,India,,,34109,3029,90927,4021
,5/18/2020,,India,,,36824,3163,96169,4167
,5/19/2020,,India,,,39174,3303,101139,4337
,5/20/2020,,India,,,42298,3435,106750,4531
,5/21/2020,,India,,,45300,3583,112359,4706
,5/22/2020,,India,,,48534,3720,118447,4971
,5/23/2020,,India,,,51784,3867,125101,5164
,5/24/2020,,India,,,54441,4021,131868,5394
,5/25/2020,,India,,,57721,4167,138845,5598
,5/26/2020,,India,,,60491,4337,145380,5815
,5/27/2020,,India,,,64426,4531,151767,6075
,5/28/2020,,India,,,67692,4706,158333,6348
,5/29/2020,,India,,,71106,4971,165799,6642
,5/30/2020,,India,,,82370,5164,173763,6929
